time_iso8601,forks_cumulative
2017-05-21 00:00:00+00:00,1
2018-03-26 00:00:00+00:00,2
2018-12-27 00:00:00+00:00,3
2020-01-26 00:00:00+00:00,4
2020-04-29 00:00:00+00:00,5
2020-08-07 00:00:00+00:00,6
2021-09-23 00:00:00+00:00,7
2021-12-18 00:00:00+00:00,8
2023-01-10 00:00:00+00:00,9
2023-02-17 00:00:00+00:00,10
2023-06-15 00:00:00+00:00,11
2023-11-02 00:00:00+00:00,12
2023-12-08 00:00:00+00:00,13
2024-01-23 00:00:00+00:00,14
2024-08-15 00:00:00+00:00,15
2024-11-16 00:00:00+00:00,16
2024-12-14 00:00:00+00:00,17
2025-08-28 00:00:00+00:00,18
2026-01-17 00:00:00+00:00,19
