time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,9,4,29,3
2026-05-05 00:00:00+00:00,22,7,16,4
2026-05-06 00:00:00+00:00,4,3,10,3
2026-05-07 00:00:00+00:00,6,4,18,5
2026-05-08 00:00:00+00:00,2,2,14,5
2026-05-09 00:00:00+00:00,0,0,0,0
2026-05-10 00:00:00+00:00,1,1,6,5
2026-05-11 00:00:00+00:00,18,6,10,4
2026-05-12 00:00:00+00:00,16,4,56,7
2026-05-13 00:00:00+00:00,7,6,32,4
2026-05-14 00:00:00+00:00,4,4,11,5
2026-05-15 00:00:00+00:00,8,6,24,4
2026-05-16 00:00:00+00:00,0,0,1,1
2026-05-17 00:00:00+00:00,6,5,10,3
