time_iso8601,stars_cumulative
2016-12-02 00:00:00+00:00,1
2017-03-08 00:00:00+00:00,2
2017-03-17 00:00:00+00:00,3
2017-03-19 00:00:00+00:00,4
2017-05-20 00:00:00+00:00,5
2017-11-04 00:00:00+00:00,6
2017-12-07 00:00:00+00:00,7
2018-06-29 00:00:00+00:00,8
2018-10-29 00:00:00+00:00,9
2019-01-02 00:00:00+00:00,10
2019-03-13 00:00:00+00:00,11
2019-05-17 00:00:00+00:00,12
2019-11-18 00:00:00+00:00,13
2020-04-24 00:00:00+00:00,14
2020-07-15 00:00:00+00:00,15
2020-09-09 00:00:00+00:00,16
2020-11-24 00:00:00+00:00,18
2021-05-15 00:00:00+00:00,19
2022-01-26 00:00:00+00:00,20
2022-06-09 00:00:00+00:00,21
2022-06-28 00:00:00+00:00,22
2022-11-30 00:00:00+00:00,23
2022-12-01 00:00:00+00:00,24
2023-02-17 00:00:00+00:00,25
2023-03-20 00:00:00+00:00,26
2023-12-10 00:00:00+00:00,27
2024-01-06 00:00:00+00:00,28
2024-04-22 00:00:00+00:00,29
2024-07-11 00:00:00+00:00,30
2024-07-24 00:00:00+00:00,31
2024-08-11 00:00:00+00:00,32
2024-11-04 00:00:00+00:00,33
2024-11-05 00:00:00+00:00,34
2025-01-07 00:00:00+00:00,35
2025-07-24 00:00:00+00:00,36
2025-07-25 00:00:00+00:00,37
2025-08-25 00:00:00+00:00,38
2025-08-28 00:00:00+00:00,39
2025-09-17 00:00:00+00:00,40
2025-10-07 00:00:00+00:00,41
2025-10-25 00:00:00+00:00,42
2026-01-17 00:00:00+00:00,43
