time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-09 00:00:00+00:00,1,1,5,1
2024-07-10 00:00:00+00:00,1,1,16,2
2024-07-11 00:00:00+00:00,60,12,211,2
2024-07-12 00:00:00+00:00,1,1,9,1
2024-07-13 00:00:00+00:00,0,0,4,1
2024-07-14 00:00:00+00:00,3,1,33,1
2024-07-15 00:00:00+00:00,7,4,89,4
2024-07-16 00:00:00+00:00,0,0,126,10
2024-07-17 00:00:00+00:00,1,1,77,3
2024-07-18 00:00:00+00:00,14,2,229,4
2024-07-19 00:00:00+00:00,39,1,23,2
2024-07-20 00:00:00+00:00,27,2,41,3
2024-07-21 00:00:00+00:00,1,1,3,3
2024-07-22 00:00:00+00:00,6,3,43,3
2024-07-23 00:00:00+00:00,1,1,86,2
2024-07-24 00:00:00+00:00,0,0,28,4
2024-07-25 00:00:00+00:00,3,3,79,4
2024-07-26 00:00:00+00:00,0,0,3,1
2024-07-27 00:00:00+00:00,2,2,0,0
2024-07-28 00:00:00+00:00,3,2,1,1
2024-07-29 00:00:00+00:00,4,3,1,1
2024-07-30 00:00:00+00:00,1,1,36,3
2024-07-31 00:00:00+00:00,3,3,43,3
2024-08-01 00:00:00+00:00,2,1,1,1
2024-08-02 00:00:00+00:00,3,2,0,0
2024-08-03 00:00:00+00:00,1,1,70,2
